draw_id,final_balance_uf,total_contributions_uf,contribution_density,months_cotizando,months_desempleado,months_informal
draw_00035,2194.3109550124727,1754.4999999999998,0.9166666666666666,484,12,32
draw_00036,2301.577825079165,1671.1249999999998,0.8731060606060606,461,24,43
draw_00037,2314.2205591552456,1761.7499999999998,0.9204545454545454,486,17,25
draw_00038,1942.4205556024076,1587.7499999999998,0.8295454545454546,438,30,60
draw_00039,2479.28933473903,1750.8749999999998,0.9147727272727273,483,11,34
draw_00040,2264.9973697919877,1783.4999999999998,0.9318181818181818,492,7,29
draw_00041,2301.2606375843175,1743.6249999999998,0.9109848484848485,481,12,35
draw_00042,2152.04956085053,1772.6249999999998,0.9261363636363636,489,10,29
draw_00043,2300.53688063695,1743.6249999999998,0.9109848484848485,481,14,33
draw_00044,2415.6611953492766,1671.1249999999998,0.8731060606060606,461,19,48
draw_00045,2102.0976558700754,1703.7499999999998,0.8901515151515151,470,22,36
draw_00046,2265.482666957885,1758.1249999999998,0.9185606060606061,485,14,29
draw_00047,2391.122949980332,1732.7499999999998,0.9053030303030303,478,5,45
draw_00048,2057.104723136892,1642.1249999999998,0.8579545454545454,453,16,59
draw_00049,2164.8415730182855,1714.6249999999998,0.8958333333333334,473,13,42
draw_00050,2020.333007010648,1645.7499999999998,0.8598484848484849,454,24,50
draw_00051,2513.268537075888,1801.6249999999998,0.9412878787878788,497,12,19
draw_00052,2117.2742267126728,1743.6249999999998,0.9109848484848485,481,9,38
draw_00053,2214.1530565111734,1743.6249999999998,0.9109848484848485,481,16,31
draw_00054,2517.9572224307976,1743.6249999999998,0.9109848484848485,481,18,29
draw_00055,1970.034536695889,1667.4999999999998,0.8712121212121212,460,21,47
draw_00056,2079.2806851573396,1656.6249999999998,0.865530303030303,457,20,51
draw_00057,2107.732511973761,1660.2499999999998,0.8674242424242424,458,15,55
draw_00058,2067.8354714581797,1678.3749999999998,0.8768939393939394,463,17,48
draw_00059,2152.349859399024,1652.9999999999998,0.8636363636363636,456,16,56
draw_00060,2010.7385238700754,1620.3749999999998,0.8465909090909091,447,26,55
draw_00061,2463.957736570136,1743.6249999999998,0.9109848484848485,481,10,37
draw_00062,2360.3635435789324,1736.3749999999998,0.9071969696969697,479,12,37
draw_00063,2345.489427866067,1739.9999999999998,0.9090909090909091,480,21,27
draw_00064,2248.5024390796284,1714.6249999999998,0.8958333333333334,473,6,49
draw_00065,2168.5007383872776,1739.9999999999998,0.9090909090909091,480,23,25
draw_00066,2313.9013510073883,1703.7499999999998,0.8901515151515151,470,23,35
draw_00067,2370.307605743269,1689.2499999999998,0.8825757575757576,466,20,42
draw_00068,2176.752652278124,1718.2499999999998,0.8977272727272727,474,13,41
draw_00069,2374.503688406272,1743.6249999999998,0.9109848484848485,481,15,32
draw_00070,2075.649709911522,1689.2499999999998,0.8825757575757576,466,9,53
draw_00071,2255.7380473438343,1725.4999999999998,0.9015151515151515,476,14,38
draw_00072,2272.2118127116537,1747.2499999999998,0.9128787878787878,482,14,32
draw_00073,2069.992799754269,1707.3749999999998,0.8920454545454546,471,12,45
draw_00074,2060.2158538943017,1700.1249999999998,0.8882575757575758,469,22,37
draw_00075,2352.243392819688,1739.9999999999998,0.9090909090909091,480,14,34
draw_00076,2004.3568023398805,1707.3749999999998,0.8920454545454546,471,13,44
draw_00077,2304.6845990982547,1696.4999999999998,0.8863636363636364,468,17,43
draw_00078,2172.4604071688414,1689.2499999999998,0.8825757575757576,466,13,49
draw_00079,2119.6655501168266,1729.1249999999998,0.9034090909090909,477,18,33
draw_00080,2219.3661804565954,1721.8749999999998,0.8996212121212122,475,18,35
draw_00081,2322.3650210684623,1812.4999999999998,0.946969696969697,500,11,17
draw_00082,2402.192856626979,1783.4999999999998,0.9318181818181818,492,12,24
draw_00083,2291.900881223463,1710.9999999999998,0.8939393939393939,472,16,40
draw_00084,2190.070511384034,1696.4999999999998,0.8863636363636364,468,20,40
draw_00085,1869.516116273892,1598.6249999999998,0.8352272727272727,441,20,67
draw_00086,2066.230213222171,1663.8749999999998,0.8693181818181818,459,20,49
draw_00087,2153.994119581467,1700.1249999999998,0.8882575757575758,469,13,46
draw_00088,2184.8057491871446,1703.7499999999998,0.8901515151515151,470,27,31
draw_00089,2235.3567314965803,1787.1249999999998,0.9337121212121212,493,8,27
draw_00090,2217.1203436889436,1743.6249999999998,0.9109848484848485,481,18,29
draw_00091,2388.8820718701295,1747.2499999999998,0.9128787878787878,482,16,30
draw_00092,2179.527551903767,1765.3749999999998,0.9223484848484849,487,12,29
draw_00093,2311.421739927591,1826.9999999999998,0.9545454545454546,504,9,15
draw_00094,2199.2111322789033,1783.4999999999998,0.9318181818181818,492,9,27
draw_00095,2098.359002529549,1656.6249999999998,0.865530303030303,457,24,47
draw_00096,2345.660621604041,1761.7499999999998,0.9204545454545454,486,6,36
draw_00097,2237.268104228791,1681.9999999999998,0.8787878787878788,464,12,52
draw_00098,1967.6516141068798,1692.8749999999998,0.884469696969697,467,15,46
draw_00099,2041.6784539576395,1696.4999999999998,0.8863636363636364,468,14,46
draw_00100,2065.944804990892,1649.3749999999998,0.8617424242424242,455,11,62
draw_00101,2270.2408830234085,1797.9999999999998,0.9393939393939394,496,12,20
draw_00102,2347.4436565640553,1750.8749999999998,0.9147727272727273,483,6,39
draw_00103,2020.775308903252,1681.9999999999998,0.8787878787878788,464,23,41
draw_00104,2353.8355656187296,1819.7499999999998,0.9507575757575758,502,9,17
draw_00105,2231.5183660194502,1732.7499999999998,0.9053030303030303,478,17,33
draw_00106,2206.3550365813903,1808.8749999999998,0.9450757575757576,499,8,21
draw_00107,2352.7614253776765,1754.4999999999998,0.9166666666666666,484,10,34
draw_00108,2336.48192518899,1772.6249999999998,0.9261363636363636,489,13,26
draw_00109,2095.8465056802384,1703.7499999999998,0.8901515151515151,470,22,36
draw_00110,2294.090342862863,1750.8749999999998,0.9147727272727273,483,18,27
draw_00111,2138.035978185228,1656.6249999999998,0.865530303030303,457,21,50
draw_00112,2201.7890088576783,1732.7499999999998,0.9053030303030303,478,12,38
draw_00113,2324.493433696185,1736.3749999999998,0.9071969696969697,479,14,35
draw_00114,2386.7962191027195,1729.1249999999998,0.9034090909090909,477,13,38
draw_00115,2200.8315882064708,1685.6249999999998,0.8806818181818182,465,18,45
draw_00116,2290.328186902967,1700.1249999999998,0.8882575757575758,469,12,47
draw_00117,2221.574851718552,1736.3749999999998,0.9071969696969697,479,18,31
draw_00118,2432.67976371341,1696.4999999999998,0.8863636363636364,468,26,34
draw_00119,2092.2740046231847,1638.4999999999998,0.8560606060606061,452,10,66
draw_00120,2225.1637891929213,1754.4999999999998,0.9166666666666666,484,13,31
draw_00121,2283.4048292681596,1725.4999999999998,0.9015151515151515,476,19,33
draw_00122,2364.227803274448,1710.9999999999998,0.8939393939393939,472,13,43
draw_00123,2263.8999536028973,1685.6249999999998,0.8806818181818182,465,21,42
draw_00124,2353.0420486563175,1747.2499999999998,0.9128787878787878,482,19,27
draw_00125,2362.261933550522,1707.3749999999998,0.8920454545454546,471,14,43
draw_00126,2378.90330961663,1772.6249999999998,0.9261363636363636,489,12,27
draw_00127,2194.236470396741,1678.3749999999998,0.8768939393939394,463,13,52
draw_00128,2223.9601895065816,1721.8749999999998,0.8996212121212122,475,11,42
draw_00129,2258.434664345593,1718.2499999999998,0.8977272727272727,474,6,48
draw_00130,2411.142335193359,1765.3749999999998,0.9223484848484849,487,11,30
draw_00131,2170.5342485419196,1761.7499999999998,0.9204545454545454,486,20,22
draw_00132,2217.978025734188,1743.6249999999998,0.9109848484848485,481,10,37
draw_00133,2311.9518787205534,1750.8749999999998,0.9147727272727273,483,11,34
draw_00134,2226.0301741917447,1750.8749999999998,0.9147727272727273,483,12,33
draw_00135,2155.283938229792,1710.9999999999998,0.8939393939393939,472,18,38
draw_00136,2385.3637282787945,1660.2499999999998,0.8674242424242424,458,26,44
draw_00137,2263.405464846885,1656.6249999999998,0.865530303030303,457,17,54
draw_00138,2202.2694262104583,1685.6249999999998,0.8806818181818182,465,20,43
draw_00139,2096.5866501575947,1761.7499999999998,0.9204545454545454,486,12,30
draw_00140,2073.848286287373,1634.8749999999998,0.8541666666666666,451,27,50
draw_00141,2287.643092079156,1729.1249999999998,0.9034090909090909,477,12,39
draw_00142,2290.4588945093947,1721.8749999999998,0.8996212121212122,475,14,39
draw_00143,2357.1635260945654,1710.9999999999998,0.8939393939393939,472,17,39
draw_00144,2168.200677256791,1663.8749999999998,0.8693181818181818,459,21,48
draw_00145,2244.135479599652,1732.7499999999998,0.9053030303030303,478,21,29
draw_00146,2172.032316039007,1754.4999999999998,0.9166666666666666,484,17,27
draw_00147,2036.6978822407143,1787.1249999999998,0.9337121212121212,493,9,26
draw_00148,2099.416197458044,1674.7499999999998,0.875,462,19,47
draw_00149,2135.8160051158866,1638.4999999999998,0.8560606060606061,452,24,52
draw_00150,2157.4022432836127,1750.8749999999998,0.9147727272727273,483,17,28
draw_00151,2325.1581154853097,1739.9999999999998,0.9090909090909091,480,12,36
draw_00152,2335.7784341406195,1692.8749999999998,0.884469696969697,467,23,38
draw_00153,2379.580548200139,1776.2499999999998,0.928030303030303,490,10,28
draw_00154,2198.8081580366156,1729.1249999999998,0.9034090909090909,477,9,42
draw_00155,2205.4755541269546,1739.9999999999998,0.9090909090909091,480,19,29
draw_00156,2095.287608531537,1700.1249999999998,0.8882575757575758,469,13,46
draw_00157,2271.9378748838108,1714.6249999999998,0.8958333333333334,473,23,32
draw_00158,2153.044349965173,1750.8749999999998,0.9147727272727273,483,11,34
draw_00159,2251.9988972001483,1732.7499999999998,0.9053030303030303,478,18,32
draw_00160,2275.3003567024803,1736.3749999999998,0.9071969696969697,479,18,31
draw_00161,2299.727737539056,1736.3749999999998,0.9071969696969697,479,20,29
draw_00162,2177.519738694331,1772.6249999999998,0.9261363636363636,489,16,23
draw_00163,2217.8268517214046,1801.6249999999998,0.9412878787878788,497,10,21
draw_00164,2258.867236455758,1823.3749999999998,0.9526515151515151,503,8,17
draw_00165,2194.1436360393386,1750.8749999999998,0.9147727272727273,483,17,28
draw_00166,2133.313342481268,1656.6249999999998,0.865530303030303,457,19,52
draw_00167,2087.363047657494,1678.3749999999998,0.8768939393939394,463,18,47
draw_00168,2275.540823518077,1743.6249999999998,0.9109848484848485,481,16,31
draw_00169,2003.9513248804717,1696.4999999999998,0.8863636363636364,468,21,39
draw_00170,2354.1164865992123,1772.6249999999998,0.9261363636363636,489,6,33
draw_00171,2143.834828209808,1736.3749999999998,0.9071969696969697,479,15,34
draw_00172,2191.4387678793964,1747.2499999999998,0.9128787878787878,482,9,37
draw_00173,2182.7516422670133,1718.2499999999998,0.8977272727272727,474,11,43
draw_00174,2257.9703478354836,1660.2499999999998,0.8674242424242424,458,20,50
draw_00175,2282.688858706521,1743.6249999999998,0.9109848484848485,481,16,31
draw_00176,2417.2324427508656,1718.2499999999998,0.8977272727272727,474,12,42
draw_00177,1985.9403491259554,1594.9999999999998,0.8333333333333334,440,13,75
draw_00178,2381.373398534815,1692.8749999999998,0.884469696969697,467,16,45
draw_00179,2093.251345933744,1714.6249999999998,0.8958333333333334,473,10,45
draw_00180,2149.4476262750422,1718.2499999999998,0.8977272727272727,474,10,44
draw_00181,2106.1845189942273,1674.7499999999998,0.875,462,17,49
draw_00182,2073.946040006441,1642.1249999999998,0.8579545454545454,453,12,63
draw_00183,2299.9494090731346,1718.2499999999998,0.8977272727272727,474,10,44
draw_00184,2167.8938655427614,1725.4999999999998,0.9015151515151515,476,8,44
draw_00185,2165.166188793281,1714.6249999999998,0.8958333333333334,473,24,31
draw_00186,2144.4543980166486,1721.8749999999998,0.8996212121212122,475,13,40
draw_00187,2174.8671139748044,1718.2499999999998,0.8977272727272727,474,11,43
draw_00188,2090.128249517437,1700.1249999999998,0.8882575757575758,469,17,42
draw_00189,2208.4113097410204,1714.6249999999998,0.8958333333333334,473,14,41
draw_00190,2291.8711979249165,1721.8749999999998,0.8996212121212122,475,10,43
draw_00191,2054.2069834625836,1696.4999999999998,0.8863636363636364,468,12,48
draw_00192,1842.9578779740561,1700.1249999999998,0.8882575757575758,469,15,44
draw_00193,2014.2268974465405,1667.4999999999998,0.8712121212121212,460,22,46
draw_00194,2076.4699059743175,1634.8749999999998,0.8541666666666666,451,25,52
draw_00195,2246.3393191832965,1700.1249999999998,0.8882575757575758,469,14,45
draw_00196,2085.9922185816285,1710.9999999999998,0.8939393939393939,472,20,36
draw_00197,2054.3423755215067,1652.9999999999998,0.8636363636363636,456,18,54
draw_00198,2348.955806994414,1696.4999999999998,0.8863636363636364,468,17,43
draw_00199,2351.112386899871,1790.7499999999998,0.9356060606060606,494,13,21
draw_00200,2066.6304924162037,1634.8749999999998,0.8541666666666666,451,17,60
draw_00201,2086.3884445449635,1732.7499999999998,0.9053030303030303,478,18,32
draw_00202,2215.693839573087,1721.8749999999998,0.8996212121212122,475,17,36
draw_00203,2206.087902675614,1758.1249999999998,0.9185606060606061,485,10,33
draw_00204,2371.4007154505703,1787.1249999999998,0.9337121212121212,493,9,26
draw_00205,2316.867752125193,1750.8749999999998,0.9147727272727273,483,15,30
draw_00206,2038.707565177336,1707.3749999999998,0.8920454545454546,471,25,32
draw_00207,2126.425221090187,1689.2499999999998,0.8825757575757576,466,21,41
draw_00208,2090.027488679303,1700.1249999999998,0.8882575757575758,469,14,45
draw_00209,1993.2342958383183,1736.3749999999998,0.9071969696969697,479,16,33
draw_00210,2091.5910840608894,1613.1249999999998,0.8428030303030303,445,28,55
draw_00211,2344.7076940726424,1783.4999999999998,0.9318181818181818,492,9,27
draw_00212,1939.6890670029836,1707.3749999999998,0.8920454545454546,471,10,47
draw_00213,2137.109581964886,1696.4999999999998,0.8863636363636364,468,18,42
draw_00214,2247.607875562967,1681.9999999999998,0.8787878787878788,464,17,47
draw_00215,2044.3602481606797,1754.4999999999998,0.9166666666666666,484,10,34
draw_00216,2338.9998890148213,1837.8749999999998,0.9602272727272727,507,7,14
draw_00217,2091.319085913369,1692.8749999999998,0.884469696969697,467,18,43
draw_00218,2001.6465038752574,1718.2499999999998,0.8977272727272727,474,21,33
draw_00219,2013.225338020656,1681.9999999999998,0.8787878787878788,464,10,54
draw_00220,2325.0587282867145,1645.7499999999998,0.8598484848484849,454,18,56
draw_00221,2257.4747783958696,1776.2499999999998,0.928030303030303,490,10,28
draw_00222,2176.2181033908214,1700.1249999999998,0.8882575757575758,469,15,44
draw_00223,2335.76185665397,1779.8749999999998,0.9299242424242424,491,12,25
draw_00224,2251.0828876176574,1743.6249999999998,0.9109848484848485,481,13,34
draw_00225,2007.2442847613409,1729.1249999999998,0.9034090909090909,477,10,41
draw_00226,2408.5260695294883,1692.8749999999998,0.884469696969697,467,28,33
draw_00227,2063.828264250548,1700.1249999999998,0.8882575757575758,469,16,43
draw_00228,2358.3646274558832,1703.7499999999998,0.8901515151515151,470,15,43
draw_00229,2342.8200338945167,1739.9999999999998,0.9090909090909091,480,14,34
draw_00230,2417.1318638977787,1790.7499999999998,0.9356060606060606,494,9,25
draw_00231,2236.969601843658,1754.4999999999998,0.9166666666666666,484,13,31
draw_00232,2183.1211045366667,1729.1249999999998,0.9034090909090909,477,14,37
draw_00233,2197.2805653612445,1718.2499999999998,0.8977272727272727,474,9,45
draw_00234,2123.7270635161817,1772.6249999999998,0.9261363636363636,489,17,22
draw_00235,2201.2688416945152,1692.8749999999998,0.884469696969697,467,17,44
draw_00236,2217.5165472562107,1710.9999999999998,0.8939393939393939,472,9,47
draw_00237,2285.6933280463586,1797.9999999999998,0.9393939393939394,496,14,18
draw_00238,2130.017578280409,1729.1249999999998,0.9034090909090909,477,7,44
draw_00239,2333.1172436900283,1768.9999999999998,0.9242424242424242,488,12,28
draw_00240,2344.103423558339,1765.3749999999998,0.9223484848484849,487,6,35
draw_00241,2153.81604238538,1729.1249999999998,0.9034090909090909,477,17,34
draw_00242,1955.1423999465126,1681.9999999999998,0.8787878787878788,464,16,48
draw_00243,2130.4719107624614,1703.7499999999998,0.8901515151515151,470,8,50
draw_00244,2139.278360994307,1667.4999999999998,0.8712121212121212,460,27,41
draw_00245,2165.2532501280994,1678.3749999999998,0.8768939393939394,463,16,49
draw_00246,2133.5256224609698,1816.1249999999998,0.9488636363636364,501,8,19
draw_00247,2234.324463707274,1703.7499999999998,0.8901515151515151,470,13,45
draw_00248,2213.6594138387286,1685.6249999999998,0.8806818181818182,465,12,51
draw_00249,2327.7476318419262,1783.4999999999998,0.9318181818181818,492,10,26
draw_00250,2473.4649237862373,1739.9999999999998,0.9090909090909091,480,28,20
draw_00251,2196.837084060589,1739.9999999999998,0.9090909090909091,480,16,32
draw_00252,2180.5407757015696,1783.4999999999998,0.9318181818181818,492,9,27
draw_00253,2216.9547319827066,1703.7499999999998,0.8901515151515151,470,12,46
draw_00254,2234.933260967271,1765.3749999999998,0.9223484848484849,487,8,33
draw_00255,2098.1916669112543,1729.1249999999998,0.9034090909090909,477,14,37
draw_00256,2005.7388617191807,1710.9999999999998,0.8939393939393939,472,13,43
draw_00257,2033.686000336267,1631.2499999999998,0.8522727272727273,450,17,61
draw_00258,2211.6467414075005,1754.4999999999998,0.9166666666666666,484,15,29
draw_00259,2086.9701553429973,1732.7499999999998,0.9053030303030303,478,19,31
draw_00260,2253.1137968890034,1703.7499999999998,0.8901515151515151,470,12,46
draw_00261,2137.163951175834,1736.3749999999998,0.9071969696969697,479,6,43
draw_00262,2388.802237362143,1787.1249999999998,0.9337121212121212,493,12,23
draw_00263,2045.2070095414783,1707.3749999999998,0.8920454545454546,471,18,39
draw_00264,2006.6753031782612,1692.8749999999998,0.884469696969697,467,17,44
draw_00265,2017.326002307369,1671.1249999999998,0.8731060606060606,461,17,50
draw_00266,2179.5386471315687,1627.6249999999998,0.8503787878787878,449,21,58
draw_00267,2202.959855185726,1754.4999999999998,0.9166666666666666,484,12,32
draw_00268,2166.935663348149,1739.9999999999998,0.9090909090909091,480,16,32
draw_00269,2308.622502095848,1743.6249999999998,0.9109848484848485,481,13,34
draw_00270,2331.7981310579557,1765.3749999999998,0.9223484848484849,487,16,25
draw_00271,2124.6660596933602,1725.4999999999998,0.9015151515151515,476,16,36
draw_00272,2267.852614025829,1797.9999999999998,0.9393939393939394,496,6,26
draw_00273,2434.2510258615207,1776.2499999999998,0.928030303030303,490,19,19
draw_00274,2285.7599232662574,1772.6249999999998,0.9261363636363636,489,6,33
draw_00275,2369.4286709144944,1754.4999999999998,0.9166666666666666,484,11,33
draw_00276,2258.8826386507667,1692.8749999999998,0.884469696969697,467,26,35
draw_00277,2142.8038686681007,1718.2499999999998,0.8977272727272727,474,20,34
draw_00278,2379.5964529621197,1732.7499999999998,0.9053030303030303,478,17,33
draw_00279,2290.3080371113833,1725.4999999999998,0.9015151515151515,476,15,37
draw_00280,2354.529519124195,1790.7499999999998,0.9356060606060606,494,15,19
draw_00281,2383.7802223626118,1696.4999999999998,0.8863636363636364,468,18,42
draw_00282,2425.215908241961,1732.7499999999998,0.9053030303030303,478,22,28
draw_00283,2055.45849065687,1631.2499999999998,0.8522727272727273,450,20,58
draw_00284,2214.2560732147444,1797.9999999999998,0.9393939393939394,496,8,24
draw_00285,2273.1131249613513,1613.1249999999998,0.8428030303030303,445,9,74
draw_00286,2244.3529873877123,1663.8749999999998,0.8693181818181818,459,24,45
draw_00287,2244.978357140745,1750.8749999999998,0.9147727272727273,483,12,33
draw_00288,2319.3504993726738,1721.8749999999998,0.8996212121212122,475,15,38
draw_00289,2258.9042243575377,1841.4999999999998,0.9621212121212122,508,10,10
draw_00290,2232.9629358637494,1692.8749999999998,0.884469696969697,467,22,39
draw_00291,2097.5067892465822,1652.9999999999998,0.8636363636363636,456,17,55
draw_00292,2263.7385847528035,1732.7499999999998,0.9053030303030303,478,14,36
draw_00293,2406.7052464895073,1750.8749999999998,0.9147727272727273,483,9,36
draw_00294,2195.578248139702,1678.3749999999998,0.8768939393939394,463,13,52
draw_00295,2160.253529796072,1707.3749999999998,0.8920454545454546,471,14,43
draw_00296,2353.8188171562106,1732.7499999999998,0.9053030303030303,478,17,33
draw_00297,2168.260815536719,1710.9999999999998,0.8939393939393939,472,22,34
draw_00298,2129.0080092124567,1758.1249999999998,0.9185606060606061,485,9,34
draw_00299,2271.797972453391,1801.6249999999998,0.9412878787878788,497,8,23
draw_00300,2413.576046212968,1779.8749999999998,0.9299242424242424,491,8,29
draw_00301,2188.7008448255506,1667.4999999999998,0.8712121212121212,460,23,45
draw_00302,2176.1795712770386,1736.3749999999998,0.9071969696969697,479,18,31
draw_00303,1956.8380331915716,1696.4999999999998,0.8863636363636364,468,18,42
draw_00304,2222.1577230121284,1729.1249999999998,0.9034090909090909,477,20,31
draw_00305,2206.3742719917927,1721.8749999999998,0.8996212121212122,475,17,36
draw_00306,2076.911791655277,1754.4999999999998,0.9166666666666666,484,9,35
draw_00307,2324.6998031200797,1732.7499999999998,0.9053030303030303,478,14,36
draw_00308,2113.759493924512,1794.3749999999998,0.9375,495,6,27
draw_00309,2089.2344247175342,1645.7499999999998,0.8598484848484849,454,20,54
draw_00310,2156.281519144102,1743.6249999999998,0.9109848484848485,481,18,29
draw_00311,2076.361399365599,1758.1249999999998,0.9185606060606061,485,7,36
draw_00312,2140.0624422635856,1710.9999999999998,0.8939393939393939,472,20,36
draw_00313,2127.484161806651,1718.2499999999998,0.8977272727272727,474,20,34
draw_00314,2080.245597689643,1605.8749999999998,0.8390151515151515,443,16,69
draw_00315,2227.1861906187632,1743.6249999999998,0.9109848484848485,481,12,35
draw_00316,2245.9898424561297,1721.8749999999998,0.8996212121212122,475,16,37
draw_00317,2334.3967395256727,1750.8749999999998,0.9147727272727273,483,21,24
draw_00318,2082.9338109181854,1703.7499999999998,0.8901515151515151,470,15,43
draw_00319,2138.85915264593,1743.6249999999998,0.9109848484848485,481,9,38
draw_00320,2388.3472803063805,1826.9999999999998,0.9545454545454546,504,10,14
draw_00321,2177.093890739386,1758.1249999999998,0.9185606060606061,485,17,26
draw_00322,2293.2468767044156,1729.1249999999998,0.9034090909090909,477,6,45
draw_00323,2380.0128522207024,1747.2499999999998,0.9128787878787878,482,11,35
draw_00324,2554.040449573251,1776.2499999999998,0.928030303030303,490,6,32
draw_00325,2224.9083047150666,1667.4999999999998,0.8712121212121212,460,30,38
draw_00326,2354.7552816977272,1790.7499999999998,0.9356060606060606,494,13,21
draw_00327,2178.4424937388644,1700.1249999999998,0.8882575757575758,469,21,38
draw_00328,2248.8567062187585,1783.4999999999998,0.9318181818181818,492,8,28
draw_00329,2030.8766525933734,1678.3749999999998,0.8768939393939394,463,15,50
draw_00330,2205.0157051499814,1718.2499999999998,0.8977272727272727,474,16,38
draw_00331,2156.3554132928025,1645.7499999999998,0.8598484848484849,454,13,61
draw_00332,2047.0615390914065,1685.6249999999998,0.8806818181818182,465,15,48
draw_00333,2202.696275818888,1678.3749999999998,0.8768939393939394,463,25,40
draw_00334,2031.4814598256744,1656.6249999999998,0.865530303030303,457,31,40
draw_00335,2315.390781852979,1721.8749999999998,0.8996212121212122,475,19,34
draw_00336,1918.9207270216898,1580.4999999999998,0.8257575757575758,436,29,63
draw_00337,2138.6003732292183,1772.6249999999998,0.9261363636363636,489,14,25
draw_00338,2038.3246280546332,1631.2499999999998,0.8522727272727273,450,22,56
draw_00339,2253.3016211878994,1656.6249999999998,0.865530303030303,457,21,50
draw_00340,2280.8858742054267,1703.7499999999998,0.8901515151515151,470,9,49
draw_00341,2268.674469337782,1787.1249999999998,0.9337121212121212,493,5,30
draw_00342,2323.4083847068273,1794.3749999999998,0.9375,495,11,22
draw_00343,2486.8542474332367,1707.3749999999998,0.8920454545454546,471,11,46
draw_00344,2243.436276964762,1710.9999999999998,0.8939393939393939,472,16,40
draw_00345,2000.3771585516745,1620.3749999999998,0.8465909090909091,447,19,62
draw_00346,2099.651256058632,1747.2499999999998,0.9128787878787878,482,10,36
draw_00347,2021.3524907582644,1721.8749999999998,0.8996212121212122,475,17,36
draw_00348,2187.3370626008636,1678.3749999999998,0.8768939393939394,463,8,57
draw_00349,2073.0579219989722,1736.3749999999998,0.9071969696969697,479,11,38
draw_00350,2168.888831580327,1681.9999999999998,0.8787878787878788,464,22,42
draw_00351,2129.6370880797504,1685.6249999999998,0.8806818181818182,465,17,46
draw_00352,2117.275910812293,1685.6249999999998,0.8806818181818182,465,26,37
draw_00353,2035.6756018612427,1707.3749999999998,0.8920454545454546,471,27,30
draw_00354,2213.484402377014,1707.3749999999998,0.8920454545454546,471,12,45
draw_00355,2112.1291287917284,1667.4999999999998,0.8712121212121212,460,16,52
draw_00356,2603.8070533181835,1823.3749999999998,0.9526515151515151,503,5,20
draw_00357,2232.7220995614466,1660.2499999999998,0.8674242424242424,458,17,53
draw_00358,2035.9522221566497,1685.6249999999998,0.8806818181818182,465,15,48
draw_00359,2196.288660779456,1736.3749999999998,0.9071969696969697,479,17,32
draw_00360,1992.1482319444392,1681.9999999999998,0.8787878787878788,464,17,47
draw_00361,2347.9827960685247,1797.9999999999998,0.9393939393939394,496,5,27
