archetype,age_start,wage_uf,density,initial_balance_uf,observed_fund,month,year,observed_balance_uf,what_if_balance_uf,delta_uf,what_if_fund
Joven en Fondo C,28,35.0,1.0,10.0,C,59,4.916666666666667,242.59582594282728,248.7079460907434,6.11212014791613,A
Joven en Fondo C,28,35.0,1.0,10.0,C,60,5.0,247.1130894029338,253.4907274390939,6.377638036160079,A
Joven en Fondo C,28,35.0,1.0,10.0,C,61,5.083333333333333,251.72999182092445,258.454614508628,6.724622687703572,A
Joven en Fondo C,28,35.0,1.0,10.0,C,62,5.166666666666667,256.52989407381574,263.7604762923665,7.230582218550751,A
Joven en Fondo C,28,35.0,1.0,10.0,C,63,5.25,261.5961253753651,269.5681613990699,7.9720360237047885,A
Joven en Fondo C,28,35.0,1.0,10.0,C,64,5.333333333333333,266.98303156876733,275.98409592461627,9.00106435584894,A
Joven en Fondo C,28,35.0,1.0,10.0,C,65,5.416666666666667,272.6937747466921,283.0206511173403,10.326876370648222,A
Joven en Fondo C,28,35.0,1.0,10.0,C,66,5.5,278.67215776740534,290.57972376799916,11.907566000593818,A
Joven en Fondo C,28,35.0,1.0,10.0,C,67,5.583333333333333,284.81175534548987,298.4667055034182,13.65495015792834,A
Joven en Fondo C,28,35.0,1.0,10.0,C,68,5.666666666666667,290.98060820017,306.4331617955377,15.452553595367704,A
Joven en Fondo C,28,35.0,1.0,10.0,C,69,5.75,297.05476061408336,314.2378721206305,17.183111506547164,A
Joven en Fondo C,28,35.0,1.0,10.0,C,70,5.833333333333333,302.95039334632514,321.7083492248512,18.757955878526047,A
Joven en Fondo C,28,35.0,1.0,10.0,C,71,5.916666666666667,308.6437873977092,328.7821218111204,20.1383344134112,A
Joven en Fondo C,28,35.0,1.0,10.0,C,72,6.0,314.1717290006147,335.51203753663555,21.34030853602087,A
Joven en Fondo C,28,35.0,1.0,10.0,C,73,6.083333333333333,278.9219285111398,266.04519959476625,-12.876728916373565,A
Joven en Fondo C,28,35.0,1.0,10.0,C,74,6.166666666666667,301.09940970066543,300.2302294738309,-0.8691802268345441,A
Joven en Fondo C,28,35.0,1.0,10.0,C,75,6.25,317.4280141530984,325.5056550580715,8.077640904973123,A
Joven en Fondo C,28,35.0,1.0,10.0,C,76,6.333333333333333,322.8840859742367,331.826336114717,8.942250140480269,A
Joven en Fondo C,28,35.0,1.0,10.0,C,77,6.416666666666667,328.3145160476108,338.08045069821617,9.765934650605345,A
Joven en Fondo C,28,35.0,1.0,10.0,C,78,6.5,333.60195085618915,344.0705662514299,10.46861539524076,A
Joven en Fondo C,28,35.0,1.0,10.0,C,79,6.583333333333333,338.6131204263961,349.5700803899466,10.956959963550503,A
Joven en Fondo C,28,35.0,1.0,10.0,C,80,6.666666666666667,343.2417435891455,354.3994373836938,11.157693794548265,A
Joven en Fondo C,28,35.0,1.0,10.0,C,81,6.75,347.44762903741207,358.4962601839448,11.048631146532728,A
Joven en Fondo C,28,35.0,1.0,10.0,C,82,6.833333333333333,351.2787051908537,361.9543779234389,10.675672732585213,A
Joven en Fondo C,28,35.0,1.0,10.0,C,83,6.916666666666667,354.86779840707203,365.0162494257546,10.148451018682579,A
Joven en Fondo C,28,35.0,1.0,10.0,C,84,7.0,358.4044789005497,368.02003633658825,9.615557436038557,A
Joven en Fondo C,28,35.0,1.0,10.0,C,85,7.083333333333333,362.0908050127297,371.5117998864535,9.420994873723828,B
Joven en Fondo C,28,35.0,1.0,10.0,C,86,7.166666666666667,366.09484767767634,375.45725330757307,9.362405629896728,B
Joven en Fondo C,28,35.0,1.0,10.0,C,87,7.25,370.5158732968212,379.98745647467496,9.471583177853745,B
Joven en Fondo C,28,35.0,1.0,10.0,C,88,7.333333333333333,375.3707580025179,385.11754160945975,9.746783606941847,B
Joven en Fondo C,28,35.0,1.0,10.0,C,89,7.416666666666667,380.604604532896,390.76282996093363,10.15822542803761,B
Joven en Fondo C,28,35.0,1.0,10.0,C,90,7.5,386.12156849252347,396.782834704883,10.661266212359521,B
Joven en Fondo C,28,35.0,1.0,10.0,C,91,7.583333333333333,391.82604038715976,403.0396360022725,11.213595615112752,B
Joven en Fondo C,28,35.0,1.0,10.0,C,92,7.666666666666667,397.6609274241922,409.45228605773536,11.791358633543155,B
Joven en Fondo C,28,35.0,1.0,10.0,C,93,7.75,403.63015453837653,416.0290438961455,12.398889357768951,B
Joven en Fondo C,28,35.0,1.0,10.0,C,94,7.833333333333333,409.7972054946342,422.86558258661904,13.068377091984814,B
Joven en Fondo C,28,35.0,1.0,10.0,C,95,7.916666666666667,416.2594119500993,430.10849131632585,13.849079366226533,B
Joven en Fondo C,28,35.0,1.0,10.0,C,96,8.0,423.1059963423267,437.89530357719167,14.789307234864964,B
Joven en Fondo C,28,35.0,1.0,10.0,C,97,8.083333333333334,430.3735059592003,446.29027898495644,15.916773025756129,B
Joven en Fondo C,28,35.0,1.0,10.0,C,98,8.166666666666666,438.0134389695378,455.23674693513857,17.22330796560078,B
Joven en Fondo C,28,35.0,1.0,10.0,C,99,8.25,445.88356404975633,464.542332863304,18.65876881354768,B
Joven en Fondo C,28,35.0,1.0,10.0,C,100,8.333333333333334,453.76783420084195,473.90460799306277,20.136773792220822,B
Joven en Fondo C,28,35.0,1.0,10.0,C,101,8.416666666666666,461.421421744319,482.97338665103337,21.551964906714375,B
Joven en Fondo C,28,35.0,1.0,10.0,C,102,8.5,468.6291050875665,491.4340089038369,22.80490381627044,B
Joven en Fondo C,28,35.0,1.0,10.0,C,103,8.583333333333334,475.2595178688669,499.0868395066136,23.827321637746707,B
Joven en Fondo C,28,35.0,1.0,10.0,C,104,8.666666666666666,481.2973526370435,505.8963902766821,24.599037639638595,B
Joven en Fondo C,28,35.0,1.0,10.0,C,105,8.75,486.8418501571935,511.99185710230864,25.150006945115138,B
Joven en Fondo C,28,35.0,1.0,10.0,C,106,8.833333333333334,492.0711787172246,517.6175534371176,25.546374719893038,B
Joven en Fondo C,28,35.0,1.0,10.0,C,107,8.916666666666666,497.1841833875537,523.0497943264417,25.865610938887983,B
Joven en Fondo C,28,35.0,1.0,10.0,C,108,9.0,502.33856679444074,528.5082652144209,26.169698419980193,B
Joven en Fondo C,28,35.0,1.0,10.0,C,109,9.083333333333334,507.605228801815,534.0906892449295,26.48546044311456,B
Joven en Fondo C,28,35.0,1.0,10.0,C,110,9.166666666666666,512.9528099573987,539.750972236387,26.798162278988343,B
Joven en Fondo C,28,35.0,1.0,10.0,C,111,9.25,518.2669861452478,545.3271799451442,27.06019379989641,B
Joven en Fondo C,28,35.0,1.0,10.0,C,112,9.333333333333334,523.3985659290303,550.6107557996833,27.212189870652992,B
Joven en Fondo C,28,35.0,1.0,10.0,C,113,9.416666666666666,528.2254475236042,555.4354979998458,27.210050476241577,B
Joven en Fondo C,28,35.0,1.0,10.0,C,114,9.5,532.7084492072084,559.7573163385711,27.048867131362613,B
Joven en Fondo C,28,35.0,1.0,10.0,C,115,9.583333333333334,536.9221088474557,563.6971676614166,26.77505881396098,B
Joven en Fondo C,28,35.0,1.0,10.0,C,116,9.666666666666666,541.0493338837199,567.5311200069277,26.481786123207826,B
Joven en Fondo C,28,35.0,1.0,10.0,C,117,9.75,545.3409730029845,571.6297792500595,26.28880624707506,B
Joven en Fondo C,28,35.0,1.0,10.0,C,118,9.833333333333334,550.0532717365197,576.3668123988579,26.31354066233814,B
Joven en Fondo C,28,35.0,1.0,10.0,C,119,9.916666666666666,555.3831060389819,582.0257640788227,26.642658039840853,B
Joven en Fondo C,28,35.0,1.0,10.0,C,120,10.0,561.4207756700549,588.7331554312044,27.312379761149487,B
Edad media en Fondo A,48,55.0,0.8,90.0,A,0,0.0,90.0,90.0,0.0,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,1,0.08333333333333333,96.32894,96.04053,-0.28840999999999894,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,2,0.16666666666666666,102.83426979391966,102.19386368958847,-0.6404061043311913,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,3,0.25,109.46325820340984,108.42935685502819,-1.0339013483816473,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,4,0.3333333333333333,116.17469473806226,114.72222803616243,-1.452466701899823,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,5,0.4166666666666667,122.95601966820168,121.06317315893249,-1.8928465092691908,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,6,0.5,129.82962327955497,127.46183453167137,-2.367788747883594,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,7,0.5833333333333334,136.8445928328988,133.9421906812686,-2.9024021516301843,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,8,0.6666666666666666,144.05546823489018,140.53084173289486,-3.5246265019953285,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,9,0.75,151.4945317343318,147.24190449032625,-4.252627244005538,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,10,0.8333333333333334,159.14692307581686,154.06377717217478,-5.083145903642077,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,11,0.9166666666666666,166.93774072201606,160.95287624755701,-5.9848644744590445,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,12,1.0,174.737453959392,167.83761714406242,-6.899836815329593,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,13,1.0833333333333333,182.38685132476377,174.63281103654361,-7.754040288220153,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,14,1.1666666666666667,189.7361623720189,181.26102252249285,-8.475139849526045,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,15,1.25,196.68673748084757,187.67441936389412,-9.012318116953452,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,16,1.3333333333333333,203.22069225436016,193.86958631733958,-9.351105937020577,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,17,1.4166666666666667,209.4067135092368,199.88954122950292,-9.51717227973387,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,18,1.5,215.37856130702102,205.8114384194877,-9.567122887533316,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,19,1.5833333333333333,221.29309477438164,211.7235260436689,-9.569568730712746,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,20,1.6666666666666667,227.2820864611533,217.69874354532288,-9.583342915830428,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,21,1.75,233.41381506893694,223.77351469597417,-9.64030037296277,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,22,1.8333333333333333,239.67678416064206,229.938668155805,-9.738116004837053,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,23,1.9166666666666667,245.99104003572387,236.14575952813954,-9.845280507584334,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,24,2.0,252.2444366185317,242.32742205380865,-9.917014564723047,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,25,2.0833333333333335,211.41368630757896,222.64029230756287,11.226605999983917,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,26,2.1666666666666665,200.56650528561312,218.55302286111623,17.986517575503115,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,27,2.25,222.20580907619257,234.29874194843623,12.092932872243665,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,28,2.3333333333333335,239.190413253738,246.9272455321852,7.736832278447196,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,29,2.4166666666666665,245.26801806312287,252.97904978338224,7.711031720259371,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,30,2.5,251.79848918795648,259.28641257970213,7.487923391745653,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,31,2.5833333333333335,258.94254633264694,265.946551636041,7.004005303394081,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,32,2.6666666666666665,266.77383095842885,273.005987496714,6.232156538285153,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,33,2.75,275.25944958072296,280.44878689829534,5.189337317572381,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,34,2.8333333333333335,284.26893469921123,288.20221002001114,3.9332753207999076,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,35,2.9166666666666665,293.6103074909539,296.1584653613806,2.548157870426678,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,36,3.0,303.084193250638,304.2063686488164,1.122175398178399,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,37,3.0833333333333335,312.54008459017365,312.2630827331667,-0.277001857006951,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,38,3.1666666666666665,321.91583261046674,320.2952471316496,-1.6205854788171337,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,39,3.25,331.2451806929604,328.321652692222,-2.923528000738372,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,40,3.3333333333333335,340.6286764178465,336.39569118241553,-4.232985235430988,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,41,3.4166666666666665,350.17665411632964,344.57298196125896,-5.603672155070683,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,42,3.5,359.9434333423565,352.87507414575504,-7.068359196601477,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,43,3.5833333333333335,369.8755265640551,361.2619701517516,-8.613556412303524,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,44,3.6666666666666665,379.7930535819546,369.6239741285337,-10.16907945342092,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,45,3.75,389.4144070378565,377.7978145477508,-11.616592490105688,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,46,3.8333333333333335,398.4214602436197,385.60450976791583,-12.81695047570389,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,47,3.9166666666666665,400.8006410867566,387.1619686413523,-13.638672445404325,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,48,4.0,402.16228278143217,388.13125823773066,-14.031024543701506,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,49,4.083333333333333,402.5920867506289,388.56795539352356,-14.024131357105318,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,50,4.166666666666667,402.34684716839894,388.62269808406137,-13.724149084337569,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,51,4.25,401.7902811106953,388.505533432142,-13.284747678553288,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,52,4.333333333333333,401.30014667087073,388.43457326892513,-12.865573401945596,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,53,4.416666666666667,401.1774519978344,388.58511091917717,-12.592341078657228,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,54,4.5,401.5849975460623,389.0542144092135,-12.530783136848811,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,55,4.583333333333333,402.5307207243383,389.8501029193786,-12.680617804959695,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,56,4.666666666666667,403.8973326589322,390.9078904618741,-12.98944219705811,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,57,4.75,405.50735378956364,392.125793966502,-13.38155982306165,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,58,4.833333333333333,407.20332225576095,393.41019565582525,-13.793126599935704,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,59,4.916666666666667,408.91809692544643,394.71528447140616,-14.20281245404027,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,60,5.0,410.7121648351478,396.0644564074027,-14.647708427745101,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,61,5.083333333333333,412.76493604764994,397.54637954774654,-15.2185564999034,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,62,5.166666666666667,415.3225523340851,399.28703013844057,-16.035522195644546,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,63,5.25,418.61948383644483,401.4070163179065,-17.212467518538347,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,64,5.333333333333333,422.7990585965986,403.9781282488437,-18.82093034775494,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,65,5.416666666666667,427.8570772408058,406.9929399876613,-20.864137253144463,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,66,5.5,433.62510349629645,410.35706299948646,-23.268040496809988,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,67,5.583333333333333,439.7993366929198,413.90697608705784,-25.89236060586194,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,68,5.666666666666667,446.00917863654945,417.44893502925527,-28.560243607294183,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,69,5.75,451.9078532220612,420.80788485326656,-31.099968368794634,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,70,5.833333333333333,457.2583437743386,423.8713717048149,-33.386972069523665,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,71,5.916666666666667,461.9861018081439,426.61401648161444,-35.372085326529486,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,72,6.0,466.17902626292744,429.0938895158481,-37.08513674707933,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,73,6.083333333333333,365.6093447088979,376.497549535029,10.88820482613113,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,74,6.166666666666667,406.9006218642754,401.08638955497025,-5.814232309305169,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,75,6.25,435.7549118772441,417.6749608814775,-18.079950995766637,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,76,6.333333333333333,439.1910067871557,419.92685990949906,-19.26414687765663,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,77,6.416666666666667,442.4977604844609,422.1161175312105,-20.381642953250434,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,78,6.5,445.42265431996543,424.095062035567,-21.327592284398406,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,79,6.583333333333333,447.683886090025,425.70089376102476,-21.98299232900024,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,80,6.666666666666667,449.0681035940688,426.8096617289114,-22.25844186515741,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,81,6.75,449.51546023959474,427.3826711187857,-22.132789120809036,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,82,6.833333333333333,449.161752889017,427.4896722088053,-21.672080680211707,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,83,6.916666666666667,448.3211766468551,427.30043088264483,-21.02074576421029,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,84,7.0,447.41475327481993,427.0470142959366,-20.367738978883324,C
Edad media en Fondo A,48,55.0,0.8,90.0,A,85,7.083333333333333,446.86896262289235,427.2345164863789,-19.634446136513475,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,86,7.166666666666667,447.0176694058571,427.61810137727684,-19.399568028580234,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,87,7.25,448.0360450563865,428.26942061275776,-19.766624443628757,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,88,7.333333333333333,449.9225333638839,429.20500441155014,-20.717528952333737,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,89,7.416666666666667,452.530358759153,430.39388703395724,-22.136471725195747,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,90,7.5,455.63733205522146,431.7779541040553,-23.859377951166152,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,91,7.583333333333333,459.0329107354066,433.2979874303346,-25.73492330507196,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,92,7.666666666666667,462.5959207749094,434.9167751620311,-27.6791456128783,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,93,7.75,466.33768668294795,436.631653968691,-29.706032714256935,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,94,7.833333333333333,470.3953489756169,438.4723271369847,-31.923021838632224,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,95,7.916666666666667,474.97666147563524,440.48474603962757,-34.49191543600767,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,96,8.0,480.27415045747824,442.7065838371325,-37.56756662034576,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,97,8.083333333333334,486.3764214056481,445.142727171822,-41.2336942338261,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,98,8.166666666666666,493.2047831717615,447.749352010796,-45.45543116096553,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,99,8.25,500.4958938107941,450.4326077807003,-50.063286030093764,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,100,8.333333333333334,507.8389974205544,453.06353484539466,-54.775462575159736,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,101,8.416666666666666,514.7616465553187,455.50579082242643,-59.255855732892314,D
Edad media en Fondo A,48,55.0,0.8,90.0,A,102,8.5,520.8424178494304,457.64843521979697,-63.19398262963341,D
